x,y
0.0,0.9249694372025203
0.001,0.8517297223318295
0.002,0.8896401741069242
0.003,0.9108428820623232
0.004,0.7167302681714293
0.005,0.3900417634158989
0.006,0.14507838581595756
0.007,0.03581007470665181
0.008,0.05186280183030489
0.009000000000000001,0.1938286176277012
0.01,0.38123147798647367
0.011,0.4905336979510369
0.012,0.4741593349044441
0.013000000000000001,0.412188522212637
0.014,0.4230311249578107
0.015,0.47116593054381073
0.016,0.39966037849930075
0.017,0.15301670618528224
0.018000000000000002,-0.202327148984905
0.019,-0.499996001608273
0.02,-0.4972053362596688
0.021,-0.1864789850157593
0.022,0.1370555252464684
0.023,0.27065480633372524
0.024,0.2111075280091243
0.025,0.05439119358615692
0.026000000000000002,0.03362959715437654
0.027,0.2891229394557491
0.028,0.6086475617828312
0.029,0.6798665586407163
0.03,0.415630080531068
0.031,-0.06582836800822368
0.032,-0.5251682422804667
0.033,-0.6660626757864178
0.034,-0.36516202142727067
0.035,0.16505647573993698
0.036000000000000004,0.5466680427132135
0.037,0.5286083066775256
0.038,0.15684369757457747
0.039,-0.31082414946501113
0.04,-0.6469985729577304
0.041,-0.6974798607515189
0.042,-0.4162766006730593
0.043000000000000003,-0.06313327642068767
0.044,0.027758220254579948
0.045,-0.10513467723131605
0.046,-0.23684195894916024
0.047,-0.32563828382567905
0.048,-0.39451060242441416
0.049,-0.38502499557980396
0.05,-0.29832669566863024
0.051000000000000004,0.7561085490349219
0.052000000000000005,0.7406261341168333
0.053,0.7672721948154921
0.054,0.9086259329980261
0.055,1.0672853598196614
0.056,1.1206362678679151
0.057,1.0506085984087543
0.058,0.8994219141762869
0.059000000000000004,0.737454709390477
0.06,0.626881004422918
0.061,0.5493369695836456
0.062,0.4906538141049108
0.063,0.5069943810429496
0.064,0.568873414640878
0.065,0.5840166133806424
0.066,0.5993045166900055
0.067,0.7017229560206704
0.068,0.8702899684438766
0.069,1.0709893209459298
0.07,1.260619901113731
0.07100000000000001,1.3280176400875385
0.07200000000000001,1.2145523206866773
0.073,1.0002986027702245
0.074,0.7972668555974631
0.075,0.6501850806973474
0.076,0.5931198699795128
0.077,0.658624496789489
0.078,0.7613696991900741
0.079,0.8057587629712923
0.08,0.8606827811683917
0.081,0.9718369517647343
0.082,1.0840399173355983
0.083,1.2671595775184064
0.084,1.5658939408476416
0.085,1.7333836467352493
0.08600000000000001,1.5575342172640558
0.08700000000000001,1.2146189088536605
0.088,1.0099190418818
0.089,1.0267047345499452
0.09,1.1737906881343492
0.091,1.342360845638971
0.092,1.4479118248700096
0.093,1.4571416933641295
0.094,1.405121465979111
0.095,1.389574128067197
0.096,1.4700839665707444
0.097,1.551851384923892
0.098,1.5402564836503971
0.099,1.4386023867937316
0.1,1.2098451642238865
0.101,0.9090984240714016
0.10200000000000001,0.7558576865079533
0.10300000000000001,0.8194548929382959
0.10400000000000001,0.9760841895962309
0.105,1.1159071035532957
0.106,1.22781752347595
0.107,1.4180175209840984
0.108,1.7162111188350373
0.109,1.925169724207568
0.11,1.873016661180872
0.111,1.6391802260654218
0.112,1.4271713232740255
0.113,1.3299925668609691
0.114,1.3164912717877626
0.115,1.3563135986938364
0.116,1.396426294033883
0.117,1.3870062274582353
0.11800000000000001,1.3634560949488708
0.11900000000000001,1.3051355699668856
0.12,1.1581498603081608
0.121,1.0405592202132619
0.122,1.0504854130153092
0.123,1.0663202732060937
0.124,1.021516048826873
0.125,1.0618549730480416
0.126,1.2688763744484626
0.127,1.477345124655523
0.128,1.4799253911743326
0.129,1.2802694221959716
0.13,1.0391730542810493
0.131,0.8670904148076158
0.132,0.7919581868035834
0.133,0.8486621658948976
0.134,1.0419632409046735
0.135,1.2421878688402752
0.136,1.2778801911807596
0.137,1.1067849002453771
0.138,0.8009129898105682
0.139,0.5302436435563291
0.14,0.5305675748649598
0.14100000000000001,0.8519601646436051
0.14200000000000002,1.3163342985116153
0.14300000000000002,1.7270719387558733
0.14400000000000002,1.8685222062410614
0.145,1.629071195115496
0.146,1.2241108648836645
0.147,0.9114649524402452
0.148,0.7548606320244725
0.149,0.8078916663299381
0.15,1.022715813564727
0.151,1.1416278937634854
0.152,1.0550506571087628
0.153,0.9248577693757029
0.154,0.873581582944871
0.155,0.8534476998433567
0.156,0.7668731408361414
0.157,0.6249732756356422
0.158,0.5869208273543887
0.159,0.7822351030919178
0.16,1.160929829563757
0.161,1.4990087181026295
0.162,1.5327018817917808
0.163,1.2540246636263794
0.164,0.9185342551164359
0.165,0.6747899506381421
0.166,0.5654931571119939
0.167,0.7185563327558862
0.168,1.096763476489569
0.169,1.4160580236061444
0.17,1.5191566512727726
0.171,1.4390340633583067
0.17200000000000001,1.2028937398192214
0.17300000000000001,0.9105854554008046
0.17400000000000002,0.7451089165429511
0.17500000000000002,0.7234283726832356
0.176,0.7288984133543572
0.177,0.7511993074884515
0.178,0.8034759806997462
0.179,0.79279232755691
0.18,0.6623479539446642
0.181,0.47194801144995646
0.182,0.3275326274115181
0.183,0.2996037322316085
0.184,0.352053678510731
0.185,0.42628193176165996
0.186,0.5623486342510386
0.187,0.7909078364076434
0.188,1.0093116048882405
0.189,1.0879836949343118
0.19,1.0251400750258803
0.191,0.9050466355923557
0.192,0.7888462811437652
0.193,0.7562983228116018
0.194,0.8912898296634162
0.195,1.1642730278569347
0.196,1.4901361025208955
0.197,1.7960843572782226
0.198,1.9869681491931661
0.199,2.0127836103690306
