x,y
252.9,0
212,0
229.4,0
267.2,0
256,0
170.7,0
228.5,0
195.5,0
196.9,0
212.3,0
204.3,0
243.6,0
222.8,0
203.7,0
213.3,0
210,0
244.8,0
193.8,0
209.4,0
174.4,0
123.4,0
219.6,0
225.9,0
177.7,0
268.1,0
156.4,0
201.4,0
194.4,0
246,0
244.1,0
204.6,0
211.3,0
173.4,0
140.6,0
189.6,0
204.7,0
236.9,0
236.1,0
188.4,0
190.9,0
168.5,0
157.4,0
148.8,0
258.5,0
184.7,0
186.9,0
162.4,0
223.3,0
151.6,0
193.6,0
173.1,0
211.6,0
184.7,0
164.6,0
199.2,0
212.8,0
202,0
209.1,0
181,0
189.1,0
179.8,0
189.2,0
175.6,0
148.2,0
205.3,0
187.9,0
151.1,0
213.9,0
172.8,0
201.6,0
221.9,0
203.9,0
234.2,0
163,0
212.1,0
179.5,0
173.9,0
182.6,0
190.7,0
201.7,0
165,0
227,0
214,0
153.9,0
244.6,0
256.9,0
235.4,0
194.6,0
167.9,0
231.6,0
187.9,0
236.7,0
206.2,0
229.3,0
210.7,0
221.2,0
200.3,0
253.6,0
203.8,0
212.1,0
334.7,1
189.4,1
192.8,1
293.6,1
197.2,1
337.5,1
231.4,1
216.4,1
336.5,1
316.6,1
334,1
290.8,1
211.2,1
336,1
237.9,1
286.1,1
292.6,1
243,1
277.6,1
291.5,1
266.9,1
200.5,1
263.4,1
309.7,1
218.7,1
243.3,1
230.4,1
333.2,1
280.3,1
268.3,1
215.4,1
274.3,1
219.7,1
251.4,1
221.4,1
280.4,1
275.9,1
240.6,1
267.8,1
200.8,1
182.9,1
269.8,1
257.5,1
278.6,1
357.2,1
292.5,1
208.9,1
300.3,1
190.8,1
229.2,1
246.9,1
327.1,1
216.5,1
212.8,1
245.6,1
220.1,1
300.7,1
201.4,1
198.4,1
230.3,1
227.6,1
336.8,1
292.7,1
253.9,1
194.9,1
288,1
205,1
180.5,1
303.5,1
264.3,1
291.4,1
264.3,1
288.6,1
220.7,1
203.5,1
280.7,1
213.8,1
219,1
229.5,1
250.8,1
234.1,1
188.1,1
221,1
149.9,1
278.1,1
177.9,1
200.3,1
252.3,1
216.7,1
319.4,1
191.8,1
262,1
248.2,1
197.4,1
273.5,1
242.3,1
284.7,1
287.1,1
347.3,1
310.1,1
