Arm length (m),Ball weight (kg),Ball radius (mm),Air temperature (deg C),Spring constant (N per m),Device weight (kg),Target hit
0.31346273141060843,0.3175648487508696,30.4292166205482,19.0,571.8178431049117,5.876016452213119,1.0
0.19997710030895544,0.3879870005385908,36.20006175567832,24.0,430.60822808194763,0.5910522332041843,1.0
0.14625328451513944,0.4285516964826194,59.15778534192529,26.0,1733.4062304633387,4.975026517698437,1.0
0.14322153470704568,0.4179347183112885,48.55340995231339,16.0,490.55166378346945,7.031689846151452,1.0
0.089183052467931,0.4632289356355617,70.49896061701804,19.0,1387.3757976576255,5.738063204464576,1.0
0.46781947807279645,0.35833815285232035,99.04622753364863,14.0,377.86687905012747,5.182578160542643,1.0
0.30430080845819946,0.3811182136686062,65.80296379982707,10.0,769.632465485945,3.738433439655074,1.0
0.2768156250515988,0.4397572160871356,67.34569505720931,22.0,958.461739674336,3.0214663768006815,1.0
0.3412644982805416,0.36630246131313215,48.7033600015202,26.0,737.6323548528842,3.2772164070813448,1.0
0.44264055467539504,0.4759807420513661,62.81400620604801,25.0,325.7439436707198,3.312698149863087,1.0
0.24516826557901397,0.2794113428449727,58.89523534990696,19.0,594.0194921101609,4.4741272207220195,1.0
0.4182562525288058,0.41004166663228375,85.90116687340941,23.0,389.5247457987286,1.5749756080026538,1.0
0.30128414825460126,0.3339913548177956,56.62545223476783,20.0,792.1546451397885,7.114114513504344,1.0
0.33367869906791586,0.5103678948316094,64.15424906991969,12.0,485.0641914366114,5.19406658229211,1.0
0.1585630772570859,0.2072712766396673,32.06634645854052,23.0,809.7244380480277,3.308271708718231,1.0
0.31019542528595623,0.2810184036005844,29.40123034239594,17.0,765.9463603919191,7.866591230858941,1.0
0.12156931492256368,0.34397452899786074,41.69893382572286,11.0,1935.692941485016,7.043956524689603,1.0
0.3295974433122071,0.2546394099279141,33.510775997875086,18.0,369.2202579424886,5.05112142151491,1.0
0.3672620304337097,0.3285714250319321,78.38890170135353,23.0,429.2495626729738,3.288116138401541,1.0
0.25733848712896956,0.22914615170144553,37.00775118714089,17.0,1078.7806365623235,3.268203919991317,1.0
0.3106734197098253,0.15565471861289934,26.32472783527494,14.0,585.0075680787312,1.0003004476330375,1.0
0.32738974324746056,0.309928371915085,69.59379460097115,17.0,581.7414263203092,3.068907280903134,1.0
0.14465853549673435,0.41881972088711206,91.02247709059264,20.0,1451.596530702942,2.342631713249099,1.0
0.21153133274089816,0.37845315651940226,104.23690142423747,21.0,771.7726417799848,5.064133416990616,1.0
0.3438119284218028,0.12575584377014165,16.488241533813223,27.0,434.8929763708129,5.901226141711276,1.0
0.38158077058125284,0.3710591871537031,35.80140974690239,16.0,627.415894476389,2.693186079287824,1.0
0.2934742340705252,0.4473221690256445,77.10166385855176,27.0,857.749295822813,4.596106245641165,1.0
0.16793319806666893,0.20398529886252925,35.560207840512824,21.0,730.9572773094169,6.403097323727813,1.0
0.3663507545097736,0.42996200833223347,41.68945898333173,13.0,232.93525559694535,5.314278577033508,1.0
0.5638048360771999,0.18769420312584442,38.172691309512246,18.0,215.85924712438674,6.077459843803904,1.0
0.23812011059776048,0.4218614020778558,76.89528829346663,22.0,1073.5909348166886,2.1355976579198828,1.0
0.1986325371294292,0.24614442638302836,23.32020486073389,30.0,732.0001157579035,5.26287419765054,1.0
0.4858414180075714,0.42005521797245665,71.1160288916364,20.0,437.03692560446154,2.553382348184378,1.0
0.3653310503967528,0.12501737419275732,40.07512747562828,29.0,375.67028440067935,2.2306294121182173,1.0
0.2574055793748329,0.5075862049512283,69.21110034114311,17.0,716.4826434951485,2.5320295936526205,1.0
