x1,x2,y
-0.03382978459920494,-0.5150131935067234,0.0
0.28220938384669014,-0.1527887353315306,0.0
-0.1195481874709079,-0.8126540313686021,0.0
0.19824305092891836,-0.6811587149025305,0.0
0.5480878753262861,-0.615250216089577,0.0
0.5116092982921328,-0.3718450809675989,0.0
0.26771943424241285,-0.6314155909630125,0.0
0.3747267452268712,-0.6021480893681568,0.0
0.026742510190231772,-0.6631344105801066,0.0
0.36933973407330867,-0.8708888822724641,0.0
1.3204404656306719,-0.6962575748170025,0.0
0.20197674431619705,-0.8159636974972704,0.0
-0.26332649371517014,-0.8956278228585418,0.0
0.4784815744218002,-0.7387069920908721,0.0
0.07971005073387682,-0.2922643867934067,0.0
-0.4000149347086938,-0.02252934311302935,1.0
-1.0338077397261665,-0.22161456665777018,1.0
-0.5132334718861917,-0.18857689120536192,1.0
-0.08438493492353544,0.3057980559003227,1.0
-0.6148271495473514,-0.16784474065314436,1.0
-0.9372718667908457,-0.32301164753797446,1.0
-0.3161189276877221,-0.8201737971975558,1.0
-0.659559379435102,-0.2019804628086277,1.0
-0.5025825115063558,-0.5654050110634303,1.0
-0.7584844335698488,-0.6210942639321277,1.0
-0.5373203377906592,-0.40548688282703477,1.0
-0.8157395976687908,-0.1456107078639538,1.0
-0.41373132323188533,-0.09301465649523064,1.0
-0.42763297724269544,-0.04892408439235413,1.0
-0.6602445103491458,-0.25311433321609317,1.0
0.49720832292926803,0.3975554456972162,2.0
0.18801237868904813,0.3699110633341566,2.0
0.5164899914402845,0.7262855156542378,2.0
0.6480596888774454,0.012010474479319577,2.0
0.5809450388160516,0.2989296751883249,2.0
0.6533423569035812,0.9287873377716376,2.0
0.3633960374948479,1.113673800476289,2.0
0.4610356598444175,0.8185792829253468,2.0
0.4416638218846474,0.32530606307907284,2.0
0.601994620622083,0.5287008004428314,2.0
0.7613344684402044,0.1829007279018196,2.0
0.2735112085025787,0.8596032642261177,2.0
1.072556872405419,1.1872559721236398,2.0
0.599710707551362,1.1083085808104445,2.0
0.7987418020166366,0.21632754892276396,2.0
